x_from,y_from,x_to,y_to,dist,json
-73.987267,40.719803,-73.980408,40.719803,140.3,{'durations': [[0, 140.3], [207.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.987293, 40.719755], 'name': 'Rivington Street'}, {'location': [-73.980146, 40.720297], 'name': 'East Houston Street'}], 'destinations': [{'location': [-73.987293, 40.719755], 'name': 'Rivington Street'}, {'location': [-73.980146, 40.720297], 'name': 'East Houston Street'}]}
-73.97065,40.760887,-73.978241,40.760887,373.1,{'durations': [[0, 373.1], [260.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.978398, 40.760672], 'name': 'West 52nd Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.978398, 40.760672], 'name': 'West 52nd Street'}]}
-73.97065,40.760887,-73.980408,40.760887,340.7,{'durations': [[0, 340.7], [449.4, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.980507, 40.760753], 'name': 'West 51st Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.980507, 40.760753], 'name': 'West 51st Street'}]}
-73.97065,40.760887,-73.991776,40.760887,622.6,{'durations': [[0, 622.6], [628.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.991945, 40.760657], 'name': 'West 45th Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.991945, 40.760657], 'name': 'West 45th Street'}]}
-73.97065,40.760887,-73.954681,40.760887,353.1,{'durations': [[0, 353.1], [863.4, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.955544, 40.761445], 'name': 'FDR Drive'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.955544, 40.761445], 'name': 'FDR Drive'}]}
-73.97065,40.760887,-73.980957,40.760887,355.2,{'durations': [[0, 355.2], [434.9, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.980924, 40.760931], 'name': 'West 51st Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.980924, 40.760931], 'name': 'West 51st Street'}]}
-73.97065,40.760887,-73.987419,40.760887,592.0,{'durations': [[0, 592], [459.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.987195, 40.760794], 'name': '8th Avenue'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.987195, 40.760794], 'name': '8th Avenue'}]}
-73.97065,40.760887,-73.957848,40.760887,334.4,{'durations': [[0, 334.4], [358.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.958059, 40.760969], 'name': 'York Avenue'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.958059, 40.760969], 'name': 'York Avenue'}]}
-73.97065,40.760887,-73.971481,40.760887,157.3,{'durations': [[0, 157.3], [77.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.971435, 40.760867], 'name': 'Park Avenue'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.971435, 40.760867], 'name': 'Park Avenue'}]}
-73.97065,40.760887,-73.952705,40.760887,851.4,{'durations': [[0, 851.4], [1042.4, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.952131, 40.760637], 'name': 'West Road'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.952131, 40.760637], 'name': 'West Road'}]}
-73.97065,40.760887,-73.982712,40.760887,456.4,{'durations': [[0, 456.4], [333.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.982721, 40.760874], 'name': 'West 50th Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.982721, 40.760874], 'name': 'West 50th Street'}]}
-73.97065,40.760887,-73.976135,40.760887,229.6,{'durations': [[0, 229.6], [365.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.976326, 40.760626], 'name': 'West 53rd Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.976326, 40.760626], 'name': 'West 53rd Street'}]}
